product_name,link,product_images,details
100% WOOL COAT - LIMITED EDITION,https://www.zara.com/in/en/100-wool-coat---limited-edition-p05841253.html,https://static.zara.net/photos///2023/I/0/1/p/5841/253/800/22/w/448/5841253800_1_1_1.jpg?ts=1692193863529,Relaxed fit coat made of wool. Peak lapel collar and long sleeves. Welt pockets at the hip. Back vent at the centre of the hem. Button-up front.
TECHNICAL TRENCH COAT,https://www.zara.com/in/en/technical-trench-coat-p03286500.html,https://static.zara.net/photos///2023/I/0/2/p/3286/500/667/2/w/448/3286500667_1_1_1.jpg?ts=1690532396864,Trench coat made of technical fabric. Lapel collar and long sleeves. Hip welt pockets. Interior pocket detail. Central back vent at the hem. Button-up front.
OVERSIZE TRENCH COAT - LIMITED EDITION,https://www.zara.com/in/en/oversize-trench-coat---limited-edition-p05851368.html,https://static.zara.net/photos///2023/I/0/2/p/5851/368/712/33/w/448/5851368712_1_1_1.jpg?ts=1691506984289,"Collared oversize fit trench coat made of textured cotton. Featuring long sleeves, welt pockets at the hip and an inner pocket detail. Matching fabric belt around the waist. Central back pleat and front button fastening."
DOUBLE-BREASTED TECHNICAL TRENCH COAT,https://www.zara.com/in/en/double-breasted-technical-trench-coat-p05854300.html,https://static.zara.net/photos///2023/I/0/2/p/5854/300/710/2/w/448/5854300710_1_1_1.jpg?ts=1690986047268,Trench coat made of technical fabric. Notch lapel collar and long sleeves. Hip flap pockets. Interior pocket detail. Matching belt in the same fabric. Central back vent at the hem. Front double-breasted button fastening.
GEOMETRIC JACQUARD DENIM JACKET,https://www.zara.com/in/en/geometric-jacquard-denim-jacket-p01538320.html,https://static.zara.net/photos///2023/I/0/2/p/1538/320/802/2/w/448/1538320802_1_1_1.jpg?ts=1692960481669,Collared jacket with long sleeves and buttoned cuffs. Flap pockets on the chest and welt hip pockets. Faded effect. Button-up front.
CROPPED DENIM JACKET,https://www.zara.com/in/en/cropped-denim-jacket-p05520316.html,https://static.zara.net/photos///2023/I/0/2/p/5520/316/700/2/w/448/5520316700_1_1_1.jpg?ts=1692025126495,Faded cropped-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets on the front. Irregular hem. Button-up front.
DENIM JACKET WITH IRREGULAR TRIMS,https://www.zara.com/in/en/denim-jacket-with-irregular-trims-p04365311.html,https://static.zara.net/photos///2023/I/0/2/p/4365/311/406/32/w/448/4365311406_1_1_1.jpg?ts=1692187656099,Round neck jacket with long sleeves and buttoned cuffs. Flap patch pockets on the chest and hip side pockets. Faded effect. Irregular trims. Cropped length. Button-up front hidden by a placket.
DENIM UTILITY GILET,https://www.zara.com/in/en/denim-utility-gilet-p01538305.html,https://static.zara.net/photos///2023/I/0/2/p/1538/305/506/22/w/448/1538305506_1_1_1.jpg?ts=1688716825878,Boxy fit sleeveless gilet. V-neck. Multi-purpose front pockets. Faded effect. Zip-up front hidden by a snap-button placket.
COLOURED ZIP-UP JACKET,https://www.zara.com/in/en/coloured-zip-up-jacket-p06917303.html,https://static.zara.net/photos///2023/I/0/2/p/6917/303/500/2/w/448/6917303500_1_1_1.jpg?ts=1689928835048,Collared jacket with long sleeves and buttoned cuffs. Patch pocket on the chest and inside pocket detail. Faded effect. Front zip fastening.
LIGHTWEIGHT BOMBER JACKET,https://www.zara.com/in/en/lightweight-bomber-jacket-p04302407.html,https://static.zara.net/photos///2023/I/0/2/p/4302/407/251/2/w/448/4302407251_1_1_1.jpg?ts=1686738106261,Lightweight jacket made of a technical fabric. Round neck and long sleeves. Hip welt pockets. Interior pocket detail. Ribbed trims. Front zip fastening.
FAUX SUEDE BOMBER JACKET,https://www.zara.com/in/en/faux-suede-bomber-jacket-p08574434.html,https://static.zara.net/photos///2023/I/0/2/p/8574/434/712/2/w/448/8574434712_1_1_1.jpg?ts=1689697776491,Lightweight jacket made of a faux suede fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Front zip fastening.
FAUX SUEDE JACKET,https://www.zara.com/in/en/faux-suede-jacket-p06318400.html,https://static.zara.net/photos///2023/I/0/2/p/6318/400/706/2/w/0/6318400706_1_1_1.jpg?ts=1689847032258,Jacket with a ribbed collar. Long sleeves. Front welt pockets. Elastic hem. Zip-up front.
JACKET WITH POCKETS,https://www.zara.com/in/en/jacket-with-pockets-p04164401.html,https://static.zara.net/photos///2023/I/0/2/p/4164/401/916/2/w/489/4164401916_1_1_1.jpg?ts=1688570564490,Faded regular-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets with flaps at the hip. Button-up front.Origins special collection.View more
TECHNICAL BOMBER JACKET,https://www.zara.com/in/en/technical-bomber-jacket-p08281324.html,https://static.zara.net/photos///2023/I/0/2/p/8281/324/800/2/w/448/8281324800_1_1_1.jpg?ts=1689697778531,Jacket made of technical fabric. High neck and long sleeves with pocket detail. Hip flap pockets. Ribbed trims. Hem that can be adjusted at the sides with a zip. Zip-up front.
JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/jacket-with-contrast-topstitching-p07505300.html,https://static.zara.net/photos///2023/I/0/2/p/7505/300/413/2/w/448/7505300413_1_1_1.jpg?ts=1689756834859,Boxy-fit jacket. Lapel collar and long sleeves with elasticated cuffs. Patch pockets with flaps at the hip. Elasticated hem. Faded effect. Zip-up front.
DENIM JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/denim-jacket-with-contrast-topstitching-p06987325.html,https://static.zara.net/photos///2023/I/0/2/p/6987/325/500/2/w/448/6987325500_1_1_1.jpg?ts=1690442673424,Collared jacket featuring long sleeves with buttoned cuffs. Chest patch pockets and hip welt pockets. Contrast topstitching all over the garment. Button-up front fastening.
JACKET WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/jacket-with-contrast-topstitching-p06987326.html,https://static.zara.net/photos///2023/I/0/2/p/6987/326/800/2/w/448/6987326800_1_1_1.jpg?ts=1690444375269,Collared jacket made of textured cotton. Long sleeves with buttoned cuffs. Front patch pockets. Contrast topstitching detail all over the garment. Zip-up front.
FLORAL JACQUARD JACKET,https://www.zara.com/in/en/floral-jacquard-jacket-p07484304.html,https://static.zara.net/photos///2023/I/0/2/p/7484/304/710/2/w/448/7484304710_1_1_1.jpg?ts=1692020568971,Relaxed-fit jacket with long sleeves and snap button cuffs. Patch pockets on the hip. Button-up front.
DIAMOND JACQUARD JACKET,https://www.zara.com/in/en/diamond-jacquard-jacket-p06861319.html,https://static.zara.net/photos///2023/I/0/2/p/6861/319/330/2/w/448/6861319330_1_1_1.jpg?ts=1691151338095,Quilted jacket featuring a lapel collar and long sleeves with buttoned cuffs. Hip flap pockets. Adjustable hem with drawstring on the front. Button-up front.
FLORAL JACQUARD JACKET,https://www.zara.com/in/en/floral-jacquard-jacket-p00706507.html,https://static.zara.net/photos///2023/I/0/2/p/0706/507/409/2/w/448/0706507409_1_1_1.jpg?ts=1691079126304,Collared cropped jacket with long sleeves with snap-button cuffs. Featuring hip patch pockets with flaps and front snap-button fastening hidden by a snap-button placket.
JACKET WITH MAO COLLAR,https://www.zara.com/in/en/jacket-with-mao-collar-p06518300.html,https://static.zara.net/photos///2023/I/0/2/p/6518/300/401/2/w/448/6518300401_1_1_1.jpg?ts=1688652387532,Jacket made of a cotton blend fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Zip fastening on the front.
UTILITY JACKET WITH POCKETS,https://www.zara.com/in/en/utility-jacket-with-pockets-p05520366.html,https://static.zara.net/photos///2023/I/0/2/p/5520/366/251/2/w/448/5520366251_1_1_1.jpg?ts=1689926676548,Jacket made of lightweight cotton fabric. Adjustable high neck with drawstring. Long sleeves with snap-button cuffs. Patch pockets with flaps on the front and sleeves. Zip-up front hidden by a snap-button placket.
TECHNICAL JACKET WITH GRAPHICS,https://www.zara.com/in/en/technical-jacket-with-graphics-p06985350.html,https://static.zara.net/photos///2023/I/0/2/p/6985/350/807/2/w/448/6985350807_1_1_1.jpg?ts=1691739358329,Jacket with a high neck and adjustable hood. Long sleeves with elastic cuffs. Hip pockets with zip fastening. Fabric lining with a mesh texture. Faded effect. Contrast prints on the front and back. Adjustable hem with elastic on the front. Zip-up front.View more
COLOUR BLOCK TECHNICAL JACKET,https://www.zara.com/in/en/colour-block-technical-jacket-p03918482.html,https://static.zara.net/photos///2023/I/0/2/p/3918/482/798/2/w/448/3918482798_1_1_1.jpg?ts=1690962649020,Jacket made of a lightweight technical fabric. High neck and long sleeves with elasticated cuffs. Front hip pockets. Elasticated hem. Front zip fastening.
TEXTURED WEAVE TECHNICAL JACKET,https://www.zara.com/in/en/textured-weave-technical-jacket-p04391403.html,https://static.zara.net/photos///2023/I/0/2/p/4391/403/804/2/w/448/4391403804_1_1_1.jpg?ts=1691739360747,"Oversize-fit jacket made of technical fabric with ripstop texture, resistant to tearing. High neck and long sleeves. Fabric lining with a mesh texture. Hip welt pockets. Elasticated trims. Zip-up front."
TECHNICAL JACKET,https://www.zara.com/in/en/technical-jacket-p01538301.html,https://static.zara.net/photos///2023/I/0/2/p/1538/301/802/2/w/448/1538301802_1_1_1.jpg?ts=1689697774391,Jacket with a high neck and an adjustable hood. Long cuffed sleeves with hook-and-loop straps. Zip pockets on the chest and hip. Zip-up front.
TEXTURED COTTON GILET,https://www.zara.com/in/en/textured-cotton-gilet-p06987321.html,https://static.zara.net/photos///2023/I/0/2/p/6987/321/505/2/w/448/6987321505_1_1_1.jpg?ts=1690962648140,Gilet with lightly padded interior. Elastic collar. Front pouch pockets. Faded effect. Zip-up front.
BASIC BOMBER JACKET,https://www.zara.com/in/en/basic-bomber-jacket-p04302410.html,https://static.zara.net/photos///2023/I/0/2/p/4302/410/707/2/w/448/4302410707_1_1_1.jpg?ts=1690361440688,Jacket with a ribbed collar and long sleeves. Hip welt pockets and an inside pocket detail. Elastic hem. Zip-up front.
GILET WITH RUBBERISED FINISH,https://www.zara.com/in/en/gilet-with-rubberised-finish-p08574440.html,https://static.zara.net/photos///2023/I/0/2/p/8574/440/506/2/w/448/8574440506_1_1_1.jpg?ts=1689940173090,Puffer gilet made of fabric with a rubberised finish. High neck. Front welt pockets. Front zip fastening.
